봉화산역,중랑구,127.090740875,37.617650827
화랑대역,노원구,127.074976111,37.617903523
태릉(6)역,노원구,127.074976111,37.617903523
석계역,노원구,127.066098310,37.615044837
석계역,노원구,127.066098310,37.615044837
돌곶이역,성북구,127.056408562,37.610543727
상월곡역,성북구,127.048308676,37.606256830
월곡역,성북구,127.041169143,37.601414849
고려대역,성북구,127.036267806,37.590644347
안암역,성북구,127.029167114,37.586464267
보문역,성북구,127.019370470,37.585321983
창신역,종로구,127.015192169,37.580015419
동묘앞역,종로구,127.015665842,37.572196284
신당역,중구,127.016137741,37.566267105
청구(6)역,중구,127.013794800,37.560283757
약수역,중구,127.010104243,37.553885482
버티고개역,중구,127.006868479,37.547990050
한강진역,용산구,127.001731549,37.540290217
이태원역,용산구,126.993705020,37.534479260
녹사평역,용산구,126.987012801,37.534825912
삼각지역,용산구,126.973190227,37.535242680
효창공원역,용산구,126.961203527,37.539589775
공덕(6)역,마포구,126.951345464,37.544519366
대흥역,마포구,126.942450772,37.547659670
광흥창역,마포구,126.932029435,37.547715462
상수역,마포구,126.922394190,37.547763186
합정역,마포구,126.913518809,37.549124810
망원역,마포구,126.910020896,37.556049115
마포구청역,마포구,126.903351826,37.563401905
마포구청역,마포구,126.903351826,37.563401905
월드컵경기장역,마포구,126.899019794,37.569936957
월드컵경기장역(1),마포구,126.899019794,37.569936957
디지털미디어시티역,은평구,126.901916064,37.577154894
디지털미디어시티역,은평구,126.901916064,37.577154894
증산역,은평구,126.910043770,37.584188768
새절역,은평구,126.913897134,37.591822215
구산역,은평구,126.917170500,37.611207088
연신내역,은평구,126.921150630,37.618959412
독바위역,은평구,126.932796154,37.618395485
불광역,은평구,126.929972906,37.610202668
역촌역,은평구,126.922955590,37.606034338
응암역,은평구,126.915496583,37.598737181
마천역,송파구,127.152302073,37.494669392
거여역,송파구,127.144014226,37.493204272
개롱역,송파구,127.135143913,37.497812716
오금역,송파구,127.127864908,37.502266288
방이역,송파구,127.125839690,37.508555342
올림픽공원역,송파구,127.131238781,37.516768513
둔촌동역,강동구,127.136355377,37.528130410
상일동역,강동구,127.165826249,37.556644804
고덕역,강동구,127.153930198,37.555043860
명일역,강동구,127.143984716,37.551257961
굽은다리역,강동구,127.142954243,37.545728250
길동역,강동구,127.139983102,37.537804931
강동역,강동구,127.133512438,37.535517688
천호역,송파구,127.123366024,37.538590657
광나루역,광진구,127.103669451,37.545274327
아차산역,광진구,127.089355395,37.552397741
군자역,광진구,127.079473527,37.557199573
장한평역,동대문구,127.064162563,37.562010043
답십리역,성동구,127.053163624,37.566441662
마장역,성동구,127.043146773,37.566276442
왕십리역,성동구,127.037464911,37.561301371
행당역,성동구,127.029893569,37.557617873
신금호역,성동구,127.020269510,37.554460145
동대문운동장역,중구,127.005902149,37.564569548
을지로4가역,중구,126.998044825,37.567512144
종로3가역,종로구,126.989927041,37.572675233
광화문역,종로구,126.976768039,37.571653930
서대문역,서대문구,126.966619357,37.565850018
충정로역,서대문구,126.963355287,37.560987344
애오개역,마포구,126.956594144,37.553355867
공덕(5)역,마포구,126.951345464,37.544519366
마포역,마포구,126.945429535,37.539977822
여의나루역,영등포구,126.932846094,37.527080523
여의도역,영등포구,126.924468113,37.521838905
신길역,영등포구,126.914253586,37.517639144
영등포시장역,영등포구,126.904942887,37.522733468
영등포구청역,영등포구,126.895272195,37.524225243
양평역,영등포구,126.886852167,37.525509671
오목교역,양천구,126.875339881,37.524447468
목동역,양천구,126.864722187,37.526193244
신정역,양천구,126.857247668,37.525428086
까치산역,강서구,126.846596442,37.531952160
화곡역,강서구,126.840480366,37.541430554
우장산역,강서구,126.836392969,37.548997984
발산역,강서구,126.837322237,37.558982245
마곡역,강서구,126.825634734,37.560112901
송정역,강서구,126.811039676,37.561475073
김포공항역,강서구,126.801554031,37.562142428
